Info 0    [23:51:12.559] Starting TS Server
Info 47   [23:52:05.751] getCompletionData: Is inside comment: 0.015652000904083252
Info 48   [23:52:05.751] getCompletionData: Get previous token: 0.21317000687122345
Info 49   [23:52:05.752] getCompletionsAtPosition: isCompletionListBlocker: 0.32071900367736816
Info 50   [23:52:05.752] Returning an empty list because completion was requested in an invalid position.
Info 51   [23:52:05.836] getCompletionData: Get current token: 0.013510003685951233
Info 52   [23:52:05.836] getCompletionData: Is inside comment: 0.0036119967699050903
Info 53   [23:52:05.836] getCompletionData: Get previous token: 0.025553002953529358
Info 54   [23:52:05.837] getCompletionsAtPosition: isCompletionListBlocker: 0.021057993173599243
Info 55   [23:52:05.837] Returning an empty list because completion was requested in an invalid position.
Info 56   [23:52:05.839] getCompletionData: Get current token: 0.01356498897075653
Info 57   [23:52:05.839] getCompletionData: Is inside comment: 0.0035209953784942627
Info 58   [23:52:05.839] getCompletionData: Get previous token: 0.025614991784095764
Info 59   [23:52:05.839] getCompletionsAtPosition: isCompletionListBlocker: 0.010479003190994263
Info 60   [23:52:05.839] Returning an empty list because completion was requested in an invalid position.
Info 61   [23:52:05.862] getCompletionData: Get current token: 0.014607012271881104
Info 62   [23:52:05.862] getCompletionData: Is inside comment: 0.0035570114850997925
Info 63   [23:52:05.862] getCompletionData: Get previous token: 0.025402992963790894
Info 64   [23:52:05.862] getCompletionsAtPosition: isCompletionListBlocker: 0.010998010635375977
Info 65   [23:52:05.862] Returning an empty list because completion was requested in an invalid position.
Info 66   [23:52:06.481] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 67   [23:52:06.487] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false structureIsReused:: Completely Elapsed: 5.906701996922493ms
Info 68   [23:52:06.487] Different program with same set of files
Info 69   [23:52:07.291] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 70   [23:52:07.296] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false structureIsReused:: Completely Elapsed: 5.427675008773804ms
Info 71   [23:52:07.296] Different program with same set of files
Info 72   [23:52:09.081] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 73   [23:52:09.086] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false structureIsReused:: Completely Elapsed: 4.302432999014854ms
Info 74   [23:52:09.086] Different program with same set of files
Info 75   [23:52:11.466] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 76   [23:52:11.471] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 5.4305790066719055ms
Info 77   [23:52:11.471] Different program with same set of files
Info 78   [23:52:14.324] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 79   [23:52:14.329] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 5.076808005571365ms
Info 80   [23:52:14.329] Different program with same set of files
Info 81   [23:52:15.339] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 82   [23:52:15.345] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 5.4592539966106415ms
Info 83   [23:52:15.345] Different program with same set of files
Info 84   [23:52:15.346] getCompletionData: Get current token: 0.011118009686470032
Info 85   [23:52:15.346] getCompletionData: Is inside comment: 0.0049120038747787476
Info 86   [23:52:15.346] getCompletionData: Get previous token: 0.03729400038719177
Info 87   [23:52:15.346] getCompletionsAtPosition: isCompletionListBlocker: 0.011194989085197449
Info 88   [23:52:15.346] Returning an empty list because completion was requested in an invalid position.
Info 89   [23:52:15.424] getCompletionData: Get current token: 0.019896000623703003
Info 90   [23:52:15.425] getCompletionData: Is inside comment: 0.0044209957122802734
Info 91   [23:52:15.425] getCompletionData: Get previous token: 0.04433199763298035
Info 92   [23:52:15.425] getCompletionsAtPosition: isCompletionListBlocker: 0.014309987425804138
Info 93   [23:52:15.425] Returning an empty list because completion was requested in an invalid position.
Info 94   [23:52:15.426] getCompletionData: Get current token: 0.010530993342399597
Info 95   [23:52:15.426] getCompletionData: Is inside comment: 0.0026449859142303467
Info 96   [23:52:15.426] getCompletionData: Get previous token: 0.02805998921394348
Info 97   [23:52:15.426] getCompletionsAtPosition: isCompletionListBlocker: 0.007507994771003723
Info 98   [23:52:15.426] Returning an empty list because completion was requested in an invalid position.
Info 99   [23:52:15.427] getCompletionData: Get current token: 0.010227993130683899
Info 100  [23:52:15.427] getCompletionData: Is inside comment: 0.002835988998413086
Info 101  [23:52:15.427] getCompletionData: Get previous token: 0.021834999322891235
Info 102  [23:52:15.427] getCompletionsAtPosition: isCompletionListBlocker: 0.0053640007972717285
Info 103  [23:52:15.427] Returning an empty list because completion was requested in an invalid position.
Info 104  [23:52:15.695] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 105  [23:52:15.700] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 4.363272994756699ms
Info 106  [23:52:15.700] Different program with same set of files
Info 107  [23:52:15.700] getCompletionData: Get current token: 0.013156995177268982
Info 108  [23:52:15.700] getCompletionData: Is inside comment: 0.0045949965715408325
Info 109  [23:52:15.700] getCompletionData: Get previous token: 0.031811997294425964
Info 110  [23:52:15.700] getCompletionsAtPosition: isCompletionListBlocker: 0.010142996907234192
Info 111  [23:52:15.700] Returning an empty list because completion was requested in an invalid position.
Info 112  [23:52:15.778] getCompletionData: Get current token: 0.020777001976966858
Info 113  [23:52:15.778] getCompletionData: Is inside comment: 0.003987997770309448
Info 114  [23:52:15.778] getCompletionData: Get previous token: 0.040394991636276245
Info 115  [23:52:15.778] getCompletionsAtPosition: isCompletionListBlocker: 0.012711986899375916
Info 116  [23:52:15.778] Returning an empty list because completion was requested in an invalid position.
Info 117  [23:52:15.820] getCompletionData: Get current token: 0.02044200897216797
Info 118  [23:52:15.820] getCompletionData: Is inside comment: 0.008785009384155273
Info 119  [23:52:15.820] getCompletionData: Get previous token: 0.038532987236976624
Info 120  [23:52:15.820] getCompletionsAtPosition: isCompletionListBlocker: 0.01938501000404358
Info 121  [23:52:15.821] Returning an empty list because completion was requested in an invalid position.
Info 122  [23:52:15.831] getCompletionData: Get current token: 0.01843799650669098
Info 123  [23:52:15.832] getCompletionData: Is inside comment: 0.003985002636909485
Info 124  [23:52:15.832] getCompletionData: Get previous token: 0.03438800573348999
Info 125  [23:52:15.832] getCompletionsAtPosition: isCompletionListBlocker: 0.01434500515460968
Info 126  [23:52:15.832] Returning an empty list because completion was requested in an invalid position.
Info 127  [23:52:16.507] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 128  [23:52:16.514] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false structureIsReused:: Completely Elapsed: 6.838730007410049ms
Info 129  [23:52:16.514] Different program with same set of files
Info 130  [23:52:16.515] getCompletionData: Get current token: 0.010545000433921814
Info 131  [23:52:16.515] getCompletionData: Is inside comment: 0.0022329986095428467
Info 132  [23:52:16.515] getCompletionData: Get previous token: 0.027760997414588928
Info 133  [23:52:16.515] getCompletionsAtPosition: isCompletionListBlocker: 0.027281999588012695
Info 134  [23:52:16.515] Returning an empty list because completion was requested in an invalid position.
Info 135  [23:52:16.593] getCompletionData: Get current token: 0.010738998651504517
Info 136  [23:52:16.593] getCompletionData: Is inside comment: 0.002548009157180786
Info 137  [23:52:16.593] getCompletionData: Get previous token: 0.022266000509262085
Info 138  [23:52:16.593] getCompletionsAtPosition: isCompletionListBlocker: 0.008331000804901123
Info 139  [23:52:16.593] Returning an empty list because completion was requested in an invalid position.
Info 140  [23:52:16.594] getCompletionData: Get current token: 0.010798990726470947
Info 141  [23:52:16.594] getCompletionData: Is inside comment: 0.0022300034761428833
Info 142  [23:52:16.594] getCompletionData: Get previous token: 0.021908998489379883
Info 143  [23:52:16.594] getCompletionsAtPosition: isCompletionListBlocker: 0.006622001528739929
Info 144  [23:52:16.594] Returning an empty list because completion was requested in an invalid position.
Info 145  [23:52:16.616] getCompletionData: Get current token: 0.010783001780509949
Info 146  [23:52:16.616] getCompletionData: Is inside comment: 0.0023469924926757812
Info 147  [23:52:16.616] getCompletionData: Get previous token: 0.022624000906944275
Info 148  [23:52:16.616] getCompletionsAtPosition: isCompletionListBlocker: 0.010843992233276367
Info 149  [23:52:16.616] Returning an empty list because completion was requested in an invalid position.
Info 150  [23:52:17.497] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 151  [23:52:17.502] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false structureIsReused:: Completely Elapsed: 5.288489013910294ms
Info 152  [23:52:17.502] Different program with same set of files
Info 153  [23:52:18.423] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 154  [23:52:18.427] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 20 structureChanged: false structureIsReused:: Completely Elapsed: 4.457706987857819ms
Info 155  [23:52:18.427] Different program with same set of files
Info 156  [23:52:19.287] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 157  [23:52:19.290] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 21 structureChanged: false structureIsReused:: Completely Elapsed: 3.5648269951343536ms
Info 158  [23:52:19.290] Different program with same set of files
Info 159  [23:52:20.013] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 160  [23:52:20.017] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 22 structureChanged: false structureIsReused:: Completely Elapsed: 4.144672006368637ms
Info 161  [23:52:20.017] Different program with same set of files
Info 162  [23:52:20.092] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 163  [23:52:20.106] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 23 structureChanged: false structureIsReused:: Completely Elapsed: 13.207015991210938ms
Info 164  [23:52:20.106] Different program with same set of files
Info 165  [23:52:21.328] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 166  [23:52:21.333] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 24 structureChanged: false structureIsReused:: Completely Elapsed: 5.12450098991394ms
Info 167  [23:52:21.333] Different program with same set of files
Info 168  [23:52:22.065] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 169  [23:52:22.069] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 25 structureChanged: false structureIsReused:: Completely Elapsed: 3.8386330008506775ms
Info 170  [23:52:22.069] Different program with same set of files
Info 171  [23:52:22.069] getCompletionData: Get current token: 0.013980001211166382
Info 172  [23:52:22.069] getCompletionData: Is inside comment: 0.002111002802848816
Info 173  [23:52:22.069] getCompletionData: Get previous token: 0.029844000935554504
Info 174  [23:52:22.069] getCompletionsAtPosition: isCompletionListBlocker: 0.009892001748085022
Info 175  [23:52:22.069] Returning an empty list because completion was requested in an invalid position.
Info 176  [23:52:22.136] getCompletionData: Get current token: 0.020267009735107422
Info 177  [23:52:22.136] getCompletionData: Is inside comment: 0.00403200089931488
Info 178  [23:52:22.136] getCompletionData: Get previous token: 0.036195993423461914
Info 179  [23:52:22.136] getCompletionsAtPosition: isCompletionListBlocker: 0.01225300133228302
Info 180  [23:52:22.136] Returning an empty list because completion was requested in an invalid position.
Info 181  [23:52:22.143] getCompletionData: Get current token: 0.012688010931015015
Info 182  [23:52:22.143] getCompletionData: Is inside comment: 0.0025649964809417725
Info 183  [23:52:22.143] getCompletionData: Get previous token: 0.02134101092815399
Info 184  [23:52:22.143] getCompletionsAtPosition: isCompletionListBlocker: 0.010003000497817993
Info 185  [23:52:22.143] Returning an empty list because completion was requested in an invalid position.
Info 186  [23:52:22.165] getCompletionData: Get current token: 0.012362003326416016
Info 187  [23:52:22.165] getCompletionData: Is inside comment: 0.0025639981031417847
Info 188  [23:52:22.165] getCompletionData: Get previous token: 0.022159993648529053
Info 189  [23:52:22.165] getCompletionsAtPosition: isCompletionListBlocker: 0.009832993149757385
Info 190  [23:52:22.165] Returning an empty list because completion was requested in an invalid position.
Info 191  [23:52:24.271] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 192  [23:52:24.277] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 26 structureChanged: false structureIsReused:: Completely Elapsed: 5.982534006237984ms
Info 193  [23:52:24.277] Different program with same set of files
Info 194  [23:52:24.920] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 195  [23:52:24.923] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 27 structureChanged: false structureIsReused:: Completely Elapsed: 3.788355991244316ms
Info 196  [23:52:24.923] Different program with same set of files
Info 197  [23:52:25.425] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 198  [23:52:25.430] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 28 structureChanged: false structureIsReused:: Completely Elapsed: 4.145938009023666ms
Info 199  [23:52:25.430] Different program with same set of files
Info 200  [23:59:28.141] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 201  [23:59:28.151] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 29 structureChanged: false structureIsReused:: Completely Elapsed: 10.553110003471375ms
Info 202  [23:59:28.152] Different program with same set of files
Info 203  [23:59:28.152] getCompletionData: Get current token: 0.015000998973846436
Info 204  [23:59:28.152] getCompletionData: Is inside comment: 0.03374400734901428
Info 205  [23:59:28.152] getCompletionData: Get previous token: 0.032834991812705994
Info 206  [23:59:28.152] getCompletionsAtPosition: isCompletionListBlocker: 0.008267998695373535
Info 207  [23:59:28.152] Returning an empty list because completion was requested in an invalid position.
Info 208  [23:59:28.261] getCompletionData: Get current token: 0.01217600703239441
Info 209  [23:59:28.261] getCompletionData: Is inside comment: 0.0023010075092315674
Info 210  [23:59:28.261] getCompletionData: Get previous token: 0.020703986287117004
Info 211  [23:59:28.261] getCompletionsAtPosition: isCompletionListBlocker: 0.11384399235248566
Info 212  [23:59:28.261] Returning an empty list because completion was requested in an invalid position.
Info 213  [23:59:28.262] getCompletionData: Get current token: 0.012937992811203003
Info 214  [23:59:28.262] getCompletionData: Is inside comment: 0.002078995108604431
Info 215  [23:59:28.262] getCompletionData: Get previous token: 0.025067999958992004
Info 216  [23:59:28.262] getCompletionsAtPosition: isCompletionListBlocker: 0.007957994937896729
Info 217  [23:59:28.262] Returning an empty list because completion was requested in an invalid position.
Info 218  [23:59:28.284] getCompletionData: Get current token: 0.012621000409126282
Info 219  [23:59:28.284] getCompletionData: Is inside comment: 0.002656996250152588
Info 220  [23:59:28.284] getCompletionData: Get previous token: 0.030438989400863647
Info 221  [23:59:28.284] getCompletionsAtPosition: isCompletionListBlocker: 0.008721992373466492
Info 222  [23:59:28.284] Returning an empty list because completion was requested in an invalid position.
Info 223  [23:59:29.405] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 224  [23:59:29.414] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 30 structureChanged: false structureIsReused:: Completely Elapsed: 9.28872999548912ms
Info 225  [23:59:29.414] Different program with same set of files
Info 226  [23:59:32.763] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 227  [23:59:32.767] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 31 structureChanged: false structureIsReused:: Completely Elapsed: 3.6070590019226074ms
Info 228  [23:59:32.767] Different program with same set of files
Info 229  [23:59:33.470] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 230  [23:59:33.479] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 32 structureChanged: false structureIsReused:: Completely Elapsed: 8.715388000011444ms
Info 231  [23:59:33.479] Different program with same set of files
Info 232  [23:59:33.479] getCompletionData: Get current token: 0.013576999306678772
Info 233  [23:59:33.479] getCompletionData: Is inside comment: 0.002741992473602295
Info 234  [23:59:33.479] getCompletionData: Get previous token: 0.03283700346946716
Info 235  [23:59:33.479] getCompletionsAtPosition: isCompletionListBlocker: 0.02016599476337433
Info 236  [23:59:33.479] Returning an empty list because completion was requested in an invalid position.
Info 237  [23:59:33.563] getCompletionData: Get current token: 0.014063999056816101
Info 238  [23:59:33.563] getCompletionData: Is inside comment: 0.0023590028285980225
Info 239  [23:59:33.563] getCompletionData: Get previous token: 0.025793001055717468
Info 240  [23:59:33.563] getCompletionsAtPosition: isCompletionListBlocker: 0.008072987198829651
Info 241  [23:59:33.563] Returning an empty list because completion was requested in an invalid position.
Info 242  [23:59:33.587] getCompletionData: Get current token: 0.023676007986068726
Info 243  [23:59:33.587] getCompletionData: Is inside comment: 0.00292399525642395
Info 244  [23:59:33.587] getCompletionData: Get previous token: 0.035311996936798096
Info 245  [23:59:33.588] getCompletionsAtPosition: isCompletionListBlocker: 0.010780006647109985
Info 246  [23:59:33.588] Returning an empty list because completion was requested in an invalid position.
Info 247  [23:59:33.588] getCompletionData: Get current token: 0.021250993013381958
Info 248  [23:59:33.588] getCompletionData: Is inside comment: 0.0026720017194747925
Info 249  [23:59:33.588] getCompletionData: Get previous token: 0.03561200201511383
Info 250  [23:59:33.588] getCompletionsAtPosition: isCompletionListBlocker: 0.006848007440567017
Info 251  [23:59:33.588] Returning an empty list because completion was requested in an invalid position.
Info 252  [23:59:34.056] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 253  [23:59:34.060] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 33 structureChanged: false structureIsReused:: Completely Elapsed: 4.1774549931287766ms
Info 254  [23:59:34.060] Different program with same set of files
Info 255  [23:59:34.060] getCompletionData: Get current token: 0.013462990522384644
Info 256  [23:59:34.060] getCompletionData: Is inside comment: 0.0021940022706985474
Info 257  [23:59:34.060] getCompletionData: Get previous token: 0.02849099040031433
Info 258  [23:59:34.060] getCompletionsAtPosition: isCompletionListBlocker: 0.05991800129413605
Info 259  [23:59:34.060] Returning an empty list because completion was requested in an invalid position.
Info 260  [23:59:34.141] getCompletionData: Get current token: 0.033796995878219604
Info 261  [23:59:34.141] getCompletionData: Is inside comment: 0.0035229921340942383
Info 262  [23:59:34.141] getCompletionData: Get previous token: 0.06652100384235382
Info 263  [23:59:34.141] getCompletionsAtPosition: isCompletionListBlocker: 0.03644299507141113
Info 264  [23:59:34.142] Returning an empty list because completion was requested in an invalid position.
Info 265  [23:59:34.142] getCompletionData: Get current token: 0.028878003358840942
Info 266  [23:59:34.142] getCompletionData: Is inside comment: 0.0030879974365234375
Info 267  [23:59:34.142] getCompletionData: Get previous token: 0.06078799068927765
Info 268  [23:59:34.142] getCompletionsAtPosition: isCompletionListBlocker: 0.009124994277954102
Info 269  [23:59:34.142] Returning an empty list because completion was requested in an invalid position.
Info 270  [23:59:34.142] getCompletionData: Get current token: 0.026162996888160706
Info 271  [23:59:34.142] getCompletionData: Is inside comment: 0.003362998366355896
Info 272  [23:59:34.142] getCompletionData: Get previous token: 0.05911600589752197
Info 273  [23:59:34.143] getCompletionsAtPosition: isCompletionListBlocker: 0.007046997547149658
Info 274  [23:59:34.143] Returning an empty list because completion was requested in an invalid position.
Info 275  [23:59:34.470] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 276  [23:59:34.476] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 34 structureChanged: false structureIsReused:: Completely Elapsed: 5.6858029961586ms
Info 277  [23:59:34.476] Different program with same set of files
Info 278  [23:59:34.477] getCompletionData: Get current token: 0.02377299964427948
Info 279  [23:59:34.477] getCompletionData: Is inside comment: 0.0040899962186813354
Info 280  [23:59:34.477] getCompletionData: Get previous token: 0.07333900034427643
Info 281  [23:59:34.477] getCompletionsAtPosition: isCompletionListBlocker: 0.020604997873306274
Info 282  [23:59:34.477] Returning an empty list because completion was requested in an invalid position.
Info 283  [23:59:34.573] getCompletionData: Get current token: 0.012384995818138123
Info 284  [23:59:34.573] getCompletionData: Is inside comment: 0.0020859986543655396
Info 285  [23:59:34.573] getCompletionData: Get previous token: 0.02135699987411499
Info 286  [23:59:34.573] getCompletionsAtPosition: isCompletionListBlocker: 0.00985001027584076
Info 287  [23:59:34.573] Returning an empty list because completion was requested in an invalid position.
Info 288  [23:59:34.573] getCompletionData: Get current token: 0.03523699939250946
Info 289  [23:59:34.573] getCompletionData: Is inside comment: 0.0018059909343719482
Info 290  [23:59:34.573] getCompletionData: Get previous token: 0.01983599364757538
Info 291  [23:59:34.573] getCompletionsAtPosition: isCompletionListBlocker: 0.004649996757507324
Info 292  [23:59:34.573] Returning an empty list because completion was requested in an invalid position.
Info 293  [23:59:34.573] getCompletionData: Get current token: 0.011598005890846252
Info 294  [23:59:34.573] getCompletionData: Is inside comment: 0.0014639943838119507
Info 295  [23:59:34.573] getCompletionData: Get previous token: 0.040703997015953064
Info 296  [23:59:34.573] getCompletionsAtPosition: isCompletionListBlocker: 0.003904998302459717
Info 297  [23:59:34.573] Returning an empty list because completion was requested in an invalid position.
Info 298  [23:59:34.574] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 299  [23:59:34.581] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 35 structureChanged: false structureIsReused:: Completely Elapsed: 7.72197400033474ms
Info 300  [23:59:34.581] Different program with same set of files
Info 301  [23:59:35.164] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 302  [23:59:35.167] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 36 structureChanged: false structureIsReused:: Completely Elapsed: 3.7080110013484955ms
Info 303  [23:59:35.168] Different program with same set of files
Info 304  [23:59:35.243] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 305  [23:59:35.247] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 37 structureChanged: false structureIsReused:: Completely Elapsed: 3.7432209998369217ms
Info 306  [23:59:35.247] Different program with same set of files
Info 307  [23:59:35.974] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 308  [23:59:35.978] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 38 structureChanged: false structureIsReused:: Completely Elapsed: 3.6690860092639923ms
Info 309  [23:59:35.978] Different program with same set of files
Info 310  [23:59:40.557] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 311  [23:59:40.564] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 39 structureChanged: false structureIsReused:: Completely Elapsed: 7.078914999961853ms
Info 312  [23:59:40.564] Different program with same set of files
Info 313  [23:59:40.564] getCompletionData: Get current token: 0.009964004158973694
Info 314  [23:59:40.564] getCompletionData: Is inside comment: 0.0022039860486984253
Info 315  [23:59:40.564] getCompletionData: Get previous token: 0.0312809944152832
Info 316  [23:59:40.564] getCompletionsAtPosition: isCompletionListBlocker: 0.010220006108283997
Info 317  [23:59:40.564] Returning an empty list because completion was requested in an invalid position.
Info 318  [23:59:40.644] getCompletionData: Get current token: 0.007639005780220032
Info 319  [23:59:40.644] getCompletionData: Is inside comment: 0.002213001251220703
Info 320  [23:59:40.644] getCompletionData: Get previous token: 0.02091999351978302
Info 321  [23:59:40.644] getCompletionsAtPosition: isCompletionListBlocker: 0.009537994861602783
Info 322  [23:59:40.644] Returning an empty list because completion was requested in an invalid position.
